Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints,Arena
"Sat, Nov 19, 2022",7:30p,Minnesota Timberwolves,112.0,Philadelphia 76ers,109.0,Wells Fargo Center
"Sat, Nov 19, 2022",10:00p,Utah Jazz,118.0,Portland Trail Blazers,113.0,Moda Center
"Sat, Nov 19, 2022",10:30p,San Antonio Spurs,97.0,Los Angeles Clippers,119.0,Crypto.com Arena
"Sun, Nov 20, 2022",3:30p,New York Knicks,95.0,Phoenix Suns,116.0,Footprint Center
"Sun, Nov 20, 2022",6:00p,Detroit Pistons,129.0,Sacramento Kings,137.0,Golden 1 Center
"Sun, Nov 20, 2022",6:00p,Charlotte Hornets,102.0,Washington Wizards,106.0,Capital One Arena
"Sun, Nov 20, 2022",7:00p,Memphis Grizzlies,115.0,Brooklyn Nets,127.0,Barclays Center
"Sun, Nov 20, 2022",7:00p,Miami Heat,87.0,Cleveland Cavaliers,113.0,Rocket Mortgage Fieldhouse
"Sun, Nov 20, 2022",7:00p,Golden State Warriors,127.0,Houston Rockets,120.0,Toyota Center
"Sun, Nov 20, 2022",7:30p,Denver Nuggets,98.0,Dallas Mavericks,97.0,American Airlines Center
"Sun, Nov 20, 2022",9:30p,San Antonio Spurs,92.0,Los Angeles Lakers,123.0,Crypto.com Arena
"Mon, Nov 21, 2022",7:00p,Atlanta Hawks,102.0,Cleveland Cavaliers,114.0,Rocket Mortgage Fieldhouse
