Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Sat, Apr 24, 2021",10:00p,Houston Rockets,116,Denver Nuggets,129
"Sun, Apr 25, 2021",1:00p,Boston Celtics,104,Charlotte Hornets,125
"Sun, Apr 25, 2021",3:30p,Phoenix Suns,119,Brooklyn Nets,128
"Sun, Apr 25, 2021",4:00p,Memphis Grizzlies,120,Portland Trail Blazers,113
"Sun, Apr 25, 2021",7:00p,Cleveland Cavaliers,110,Washington Wizards,119
"Sun, Apr 25, 2021",7:30p,Milwaukee Bucks,104,Atlanta Hawks,111
"Sun, Apr 25, 2021",8:00p,Indiana Pacers,131,Orlando Magic,112
"Sun, Apr 25, 2021",10:00p,Sacramento Kings,113,Golden State Warriors,117
"Mon, Apr 26, 2021",7:00p,Atlanta Hawks,86,Detroit Pistons,100
"Mon, Apr 26, 2021",7:00p,Los Angeles Lakers,114,Orlando Magic,103
"Mon, Apr 26, 2021",7:00p,Oklahoma City Thunder,90,Philadelphia 76ers,121
"Mon, Apr 26, 2021",7:00p,San Antonio Spurs,146,Washington Wizards,143
"Mon, Apr 26, 2021",7:30p,Phoenix Suns,118,New York Knicks,110
"Mon, Apr 26, 2021",7:30p,Cleveland Cavaliers,96,Toronto Raptors,112
"Mon, Apr 26, 2021",8:00p,Chicago Bulls,110,Miami Heat,102
"Mon, Apr 26, 2021",8:00p,Utah Jazz,104,Minnesota Timberwolves,105
"Mon, Apr 26, 2021",8:00p,Los Angeles Clippers,103,New Orleans Pelicans,120
"Mon, Apr 26, 2021",9:00p,Memphis Grizzlies,96,Denver Nuggets,120
"Mon, Apr 26, 2021",10:00p,Dallas Mavericks,106,Sacramento Kings,113
"Tue, Apr 27, 2021",7:00p,Oklahoma City Thunder,119,Boston Celtics,115
"Tue, Apr 27, 2021",7:00p,Milwaukee Bucks,114,Charlotte Hornets,104
"Tue, Apr 27, 2021",7:00p,Portland Trail Blazers,133,Indiana Pacers,112
"Tue, Apr 27, 2021",7:30p,Brooklyn Nets,116,Toronto Raptors,103
"Tue, Apr 27, 2021",9:00p,Minnesota Timberwolves,114,Houston Rockets,107
"Tue, Apr 27, 2021",9:30p,Dallas Mavericks,133,Golden State Warriors,103
"Wed, Apr 28, 2021",7:00p,Orlando Magic,109,Cleveland Cavaliers,104
"Wed, Apr 28, 2021",7:00p,Atlanta Hawks,83,Philadelphia 76ers,127
"Wed, Apr 28, 2021",7:30p,Charlotte Hornets,111,Boston Celtics,120
"Wed, Apr 28, 2021",7:30p,Chicago Bulls,94,New York Knicks,113
"Wed, Apr 28, 2021",7:30p,Los Angeles Lakers,107,Washington Wizards,116
"Wed, Apr 28, 2021",8:00p,San Antonio Spurs,111,Miami Heat,116
"Wed, Apr 28, 2021",9:00p,New Orleans Pelicans,112,Denver Nuggets,114
"Wed, Apr 28, 2021",9:00p,Portland Trail Blazers,130,Memphis Grizzlies,109
"Wed, Apr 28, 2021",10:00p,Los Angeles Clippers,101,Phoenix Suns,109
"Wed, Apr 28, 2021",10:00p,Utah Jazz,154,Sacramento Kings,105
"Thu, Apr 29, 2021",7:00p,Dallas Mavericks,115,Detroit Pistons,105
"Thu, Apr 29, 2021",7:00p,Brooklyn Nets,130,Indiana Pacers,113
"Thu, Apr 29, 2021",8:00p,Milwaukee Bucks,136,Houston Rockets,143
"Thu, Apr 29, 2021",8:00p,Golden State Warriors,114,Minnesota Timberwolves,126
"Thu, Apr 29, 2021",9:00p,Toronto Raptors,111,Denver Nuggets,121
"Thu, Apr 29, 2021",9:00p,New Orleans Pelicans,109,Oklahoma City Thunder,95
"Fri, Apr 30, 2021",7:00p,Atlanta Hawks,104,Philadelphia 76ers,126
"Fri, Apr 30, 2021",7:30p,San Antonio Spurs,140,Boston Celtics,143
"Fri, Apr 30, 2021",7:30p,Washington Wizards,122,Cleveland Cavaliers,93
"Fri, Apr 30, 2021",8:00p,Portland Trail Blazers,128,Brooklyn Nets,109
"Fri, Apr 30, 2021",8:00p,Orlando Magic,75,Memphis Grizzlies,92
"Fri, Apr 30, 2021",9:00p,Milwaukee Bucks,108,Chicago Bulls,98
"Fri, Apr 30, 2021",10:00p,Utah Jazz,100,Phoenix Suns,121
"Fri, Apr 30, 2021",10:30p,Sacramento Kings,110,Los Angeles Lakers,106
