FG_home,FG%_home,3P%_home,FT%_home,PTS_home,LogRatio_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,PTS_away,LogRatio_away,eFG%_away,TS%_away,HomeTeamWon,Winner
37.66667,0.45333,0.38533,0.787,104.66667,-0.04249,0.51667,0.59153,34.33333,0.41833,0.26033,0.716,89.66667,-0.19978,0.45295,0.5152,1.0,0
40.66667,0.44433,0.31133,0.73233,109.33333,0.0542,0.48791,0.56208,39.33333,0.49067,0.30767,0.70467,102.33333,-0.02706,0.53608,0.60267,0.66667,1
41.66667,0.506,0.377,0.77,116.33333,0.09428,0.56204,0.6514,42.66667,0.45333,0.401,0.823,116.33333,-0.0137,0.5296,0.59003,0.66667,0
43.33333,0.51667,0.491,0.721,111.66667,0.07447,0.59815,0.63911,37.33333,0.43933,0.387,0.715,103.66667,-0.06228,0.51006,0.57414,0.66667,0
37.0,0.43467,0.39933,0.73,99.0,-0.03193,0.49528,0.552,40.0,0.47767,0.39333,0.707,107.0,0.1096,0.5392,0.60224,0.33333,1
40.0,0.476,0.345,0.74833,114.33333,-0.04514,0.55029,0.63291,36.33333,0.435,0.401,0.83533,101.66667,-0.178,0.50234,0.57737,1.0,1
39.33333,0.47567,0.37533,0.82633,108.66667,0.06288,0.53884,0.61639,43.33333,0.47133,0.30733,0.75667,113.0,0.03961,0.52706,0.58542,0.33333,0
35.33333,0.46133,0.33833,0.84033,96.0,-0.02937,0.51555,0.59138,41.33333,0.48133,0.38967,0.646,108.33333,0.03721,0.56735,0.60539,0.66667,0
42.33333,0.51767,0.39867,0.762,106.33333,0.07883,0.57842,0.62435,41.33333,0.468,0.30167,0.67167,106.0,0.03088,0.53008,0.57352,0.33333,0
39.66667,0.421,0.28933,0.744,108.33333,0.0611,0.47368,0.54363,39.0,0.476,0.38933,0.78633,97.33333,-0.1626,0.53127,0.57331,1.0,0
37.66667,0.43467,0.314,0.79567,104.33333,-0.27899,0.47897,0.56362,33.33333,0.429,0.29933,0.72833,92.33333,-0.07356,0.47531,0.55537,1.0,0
34.33333,0.377,0.31733,0.71467,104.33333,-0.06375,0.43967,0.52992,37.0,0.412,0.32,0.81567,98.66667,-0.16051,0.45891,0.52372,0.66667,0
39.0,0.458,0.411,0.787,108.0,0.03592,0.52409,0.59689,40.33333,0.48967,0.37533,0.813,106.33333,-0.1921,0.55143,0.6134,1.0,1
38.66667,0.43933,0.27833,0.84,105.33333,0.16797,0.47692,0.56184,41.66667,0.487,0.35467,0.758,121.33333,0.07438,0.54523,0.6468,0.33333,1
37.66667,0.45367,0.335,0.82767,105.0,0.0879,0.51573,0.59481,34.66667,0.44533,0.35633,0.772,98.66667,0.08665,0.50698,0.58988,0.33333,0
41.33333,0.472,0.32133,0.68133,103.0,0.01945,0.51998,0.56262,34.66667,0.43333,0.40933,0.82,98.0,-0.03694,0.50531,0.57906,0.33333,1
32.33333,0.387,0.332,0.84933,95.33333,-0.01222,0.44179,0.53423,40.66667,0.484,0.367,0.73233,100.0,-0.15083,0.53434,0.57463,1.0,0
37.33333,0.46633,0.37267,0.866,105.33333,0.02567,0.52059,0.61258,36.33333,0.44633,0.35033,0.82567,106.33333,0.17919,0.50962,0.60662,0.0,0
