Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Sat, Dec 23, 2017",7:00p,Brooklyn Nets,119,Indiana Pacers,123
"Sat, Dec 23, 2017",7:00p,Orlando Magic,103,Washington Wizards,130
"Sat, Dec 23, 2017",7:30p,Dallas Mavericks,107,Atlanta Hawks,112
"Sat, Dec 23, 2017",7:30p,Chicago Bulls,92,Boston Celtics,117
"Sat, Dec 23, 2017",8:00p,Los Angeles Clippers,112,Memphis Grizzlies,115
"Sat, Dec 23, 2017",8:00p,New Orleans Pelicans,109,Miami Heat,94
"Sat, Dec 23, 2017",8:00p,Oklahoma City Thunder,103,Utah Jazz,89
"Sat, Dec 23, 2017",8:30p,Denver Nuggets,96,Golden State Warriors,81
"Sat, Dec 23, 2017",9:00p,Minnesota Timberwolves,115,Phoenix Suns,106
"Sat, Dec 23, 2017",9:30p,Portland Trail Blazers,95,Los Angeles Lakers,92
"Sat, Dec 23, 2017",10:00p,San Antonio Spurs,108,Sacramento Kings,99
"Mon, Dec 25, 2017",12:00p,Philadelphia 76ers,105,New York Knicks,98
"Mon, Dec 25, 2017",3:00p,Cleveland Cavaliers,92,Golden State Warriors,99
"Mon, Dec 25, 2017",5:30p,Washington Wizards,111,Boston Celtics,103
"Mon, Dec 25, 2017",8:00p,Houston Rockets,107,Oklahoma City Thunder,112
"Mon, Dec 25, 2017",10:30p,Minnesota Timberwolves,121,Los Angeles Lakers,104
"Tue, Dec 26, 2017",7:00p,Toronto Raptors,93,Dallas Mavericks,98
"Tue, Dec 26, 2017",7:00p,Indiana Pacers,83,Detroit Pistons,107
"Tue, Dec 26, 2017",7:30p,Orlando Magic,89,Miami Heat,107
"Tue, Dec 26, 2017",8:00p,Chicago Bulls,115,Milwaukee Bucks,106
"Tue, Dec 26, 2017",8:30p,Brooklyn Nets,97,San Antonio Spurs,109
"Tue, Dec 26, 2017",9:00p,Utah Jazz,83,Denver Nuggets,107
"Tue, Dec 26, 2017",9:00p,Memphis Grizzlies,97,Phoenix Suns,99
"Tue, Dec 26, 2017",10:30p,Sacramento Kings,95,Los Angeles Clippers,122
