,season,Team_away,index_sspg,FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,PTS_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,HomeTeamWon,Team_home,FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,PTS_home,LogRatio_home,RB_aggr_home,eFG%_home,TS%_home,index,Elo_pregame_away,Elo_pregame_home,Winner
31,2023,Los Angeles Lakers,63,40.0,0.435,0.2585,0.724,8.0,39.5,47.5,24.0,10.0,17.5,104.0,-0.16316663700368164,0.19939939939939935,0.483806146572104,0.5385186196164742,1.0,Denver Nuggets,42.0,0.47550000000000003,0.3955,0.6955,9.0,41.0,50.0,33.5,8.5,14.5,116.0,0.1061878557122659,0.2341216216216216,0.5585997442455244,0.6167918016227965,63,1488.751843163889,1492.748156836111,0
32,2023,Los Angeles Lakers,75,38.5,0.43,0.2885,0.696,9.5,41.5,51.0,22.5,8.0,18.0,100.5,-0.13699680891183008,0.24920634920634915,0.47759051186017476,0.5332399617389254,1.0,Minnesota Timberwolves,46.5,0.532,0.4565,0.646,7.0,32.5,39.5,32.0,11.0,13.0,122.5,0.12867118863674826,0.1627906976744186,0.62739898989899,0.6672120043737242,75,1485.4476428974772,1511.5128706067526,0
33,2023,Memphis Grizzlies,68,41.5,0.48150000000000004,0.34850000000000003,0.757,8.5,27.5,36.0,23.5,4.5,14.5,110.5,-0.1643225055509715,0.2585004359197907,0.5480187121629059,0.6104215923697047,0.5,Sacramento Kings,40.0,0.4765,0.358,0.6975,9.0,30.5,39.5,26.0,5.0,12.5,109.5,-0.10532805635530351,0.26919642857142856,0.5535790219702339,0.6134439962991876,68,1503.684490958511,1492.4158220237628,1
34,2023,Memphis Grizzlies,86,49.5,0.5505,0.434,0.7275,10.5,31.0,41.5,25.5,8.0,16.0,124.0,0.0863713830448961,0.385752688172043,0.6225296442687748,0.6624582760158828,0.5,Utah Jazz,41.5,0.46950000000000003,0.3605,0.7085,10.5,33.0,43.5,29.0,9.5,17.0,116.5,0.060827323536383454,0.32380952380952377,0.5604406130268198,0.6212595874616615,86,1503.684490958511,1487.6868074497067,0
35,2023,Memphis Grizzlies,100,44.0,0.49049999999999994,0.3375,0.6405000000000001,14.0,32.0,46.0,19.0,9.5,18.0,114.0,-0.1081497623280536,0.45157657657657657,0.54100790513834,0.5960866201056516,1.0,Utah Jazz,43.5,0.49450000000000005,0.41800000000000004,0.784,10.5,30.5,41.0,28.0,9.0,17.0,122.5,0.10814976232805346,0.3284313725490196,0.6025442335012268,0.6615256939042384,100,1487.9943031387795,1503.3769952694383,0
36,2023,Miami Heat,67,41.5,0.47450000000000003,0.36050000000000004,0.83,11.5,27.0,38.5,29.5,14.5,14.0,114.5,0.059476563689077444,0.3954248366013072,0.5573406478578893,0.6224862232821075,0.5,Golden State Warriors,45.5,0.5085,0.4075,0.7945,11.0,32.5,43.5,27.0,5.5,16.0,126.5,0.10886916009047384,0.42677345537757433,0.5977636181909045,0.6650588621820595,67,1500.97931764207,1493.6501723299832,0
37,2023,Miami Heat,80,38.5,0.435,0.35950000000000004,0.8285,8.5,24.0,32.5,21.5,11.5,10.0,111.5,-0.11789679635366807,0.23926868044515098,0.5057456588355465,0.5910321584408365,1.0,Sacramento Kings,41.0,0.5175000000000001,0.384,0.7709999999999999,7.5,34.0,41.5,27.5,3.0,16.5,114.5,-0.05489288512233574,0.260625,0.5994768547875713,0.6742005593166149,80,1497.3930680812648,1496.0020715845678,0
38,2023,Minnesota Timberwolves,91,43.0,0.4635,0.216,0.6679999999999999,14.0,35.5,49.5,22.5,10.0,13.0,107.0,0.0016516991392171027,0.4040747028862478,0.5018939393939394,0.5493092669153978,0.5,San Antonio Spurs,41.0,0.477,0.4105,0.784,11.0,36.0,47.0,32.0,6.5,19.5,118.0,0.09189404366115875,0.38952745849297576,0.5697674418604651,0.6439633334048267,91,1507.8905640353566,1502.9891872487558,0
39,2023,New Orleans Pelicans,78,40.0,0.45699999999999996,0.3845,0.887,12.0,31.0,43.0,24.0,9.5,14.0,117.5,-0.006469527853749046,0.4248251748251748,0.522961850013065,0.6246091995945331,0.5,Phoenix Suns,47.5,0.5165,0.3585,0.862,14.0,33.5,47.5,32.0,7.5,12.5,129.0,0.2558120584142094,0.525,0.5760869565217391,0.6583278692353767,78,1500.4711095222397,1536.381690486226,0
40,2023,New Orleans Pelicans,87,42.0,0.4685,0.41100000000000003,0.767,10.5,31.0,41.5,28.5,9.5,11.5,111.5,0.06988991891106934,0.32991202346041054,0.5521692923230808,0.6009654927445154,0.5,Los Angeles Clippers,36.0,0.429,0.2815,0.6575,8.5,32.5,41.0,20.0,6.5,14.0,93.0,-0.268529797792782,0.23026315789473678,0.48823028927963696,0.5309049659889464,87,1514.346890838631,1460.5068350427864,1
41,2023,New York Knicks,74,40.5,0.401,0.29300000000000004,0.7605,15.5,38.5,54.0,23.5,6.5,12.0,110.0,-0.089032695015623,0.3630820399113082,0.4536598599191082,0.5177673972903757,1.0,Milwaukee Bucks,40.5,0.41400000000000003,0.2835,0.7869999999999999,16.5,40.5,57.0,22.0,8.0,12.0,114.5,0.14596667729476248,0.4650406504065041,0.47247706422018343,0.5502059856505654,74,1514.440431566928,1529.3634546021306,0
42,2023,New York Knicks,89,41.0,0.4435,0.35650000000000004,0.594,12.5,37.0,49.5,22.5,7.5,13.0,108.0,-0.15195299812780044,0.34035476718403546,0.5029219261337073,0.5525553597656415,1.0,Cleveland Cavaliers,38.5,0.4375,0.3815,0.7709999999999999,11.0,32.0,43.0,29.0,4.5,13.0,112.0,0.16345715311866585,0.33333333333333326,0.5305760041327651,0.5997473183967067,89,1507.3177968553364,1539.0591915278314,0
43,2023,Oklahoma City Thunder,85,43.0,0.47050000000000003,0.2975,0.7785,9.5,37.5,47.0,27.0,9.5,13.5,117.0,0.0077881176269083,0.25675675675675674,0.5245338273966054,0.6005354527928843,0.5,Dallas Mavericks,41.5,0.45,0.318,0.8135,13.5,37.0,50.5,20.0,7.5,15.5,124.0,0.21856036450303595,0.4839816933638444,0.5182748538011696,0.6205598701229125,85,1506.6637697293663,1511.5291649291569,1
44,2023,Orlando Magic,19,37.5,0.4505,0.301,0.7685,10.0,36.0,46.0,18.5,7.0,18.5,103.5,-0.0960861478432608,0.30754892823858343,0.5074127906976744,0.5850833616318811,1.0,Atlanta Hawks,42.5,0.47450000000000003,0.34950000000000003,0.8855,6.5,35.5,42.0,28.0,11.0,13.0,112.5,0.1345376956152588,0.18363499245852183,0.5306803995006242,0.5988187182075684,19,1492.5,1507.5,0
45,2023,Orlando Magic,45,34.5,0.416,0.2175,0.8260000000000001,11.5,31.0,42.5,15.0,7.5,15.5,100.0,-0.15662118351056992,0.33826013513513514,0.46090116279069765,0.5602647273224178,1.0,New York Knicks,46.5,0.494,0.359,0.6779999999999999,14.5,35.5,50.0,26.5,5.5,12.5,122.5,0.2337560337190674,0.47420634920634924,0.5660158460667799,0.6173990059221658,45,1482.1686066710042,1521.942168225849,0
46,2023,Orlando Magic,55,35.5,0.4255,0.225,0.8069999999999999,11.5,30.5,42.0,16.5,6.0,14.0,97.0,-0.1680016400495425,0.36441532258064513,0.4642190640252655,0.5459836216473608,1.0,Cleveland Cavaliers,38.5,0.4205,0.34850000000000003,0.79,14.0,31.5,45.5,22.0,8.0,12.5,110.0,0.14591815215423154,0.439882697947214,0.4830280172413793,0.5632841775083155,55,1475.5284471993095,1528.8165594759275,0
47,2023,Orlando Magic,92,36.0,0.4445,0.3145,0.7515000000000001,10.5,34.5,45.0,19.5,4.0,14.0,98.5,-0.14079153381241222,0.33316532258064513,0.49691358024691357,0.5705611921906367,1.0,Dallas Mavericks,39.5,0.447,0.257,0.772,8.5,34.5,43.0,16.0,9.0,10.0,112.5,0.02134782163266015,0.2273391812865497,0.5011731135066582,0.590434610620278,92,1488.6297919898925,1514.83196182962,0
48,2023,Philadelphia 76ers,59,40.0,0.503,0.41300000000000003,0.7705,4.0,28.5,32.5,22.5,7.0,13.0,113.0,-0.11677432122376455,0.12727272727272726,0.5944224683544304,0.6670874687977411,1.0,Toronto Raptors,41.0,0.48350000000000004,0.4325,0.7525,9.0,31.0,40.0,25.5,12.0,11.0,113.5,0.08363771151418134,0.2875,0.5685215946843853,0.6318376357850441,59,1496.6330825521402,1510.979488419964,0
49,2023,Philadelphia 76ers,72,41.5,0.515,0.4325,0.7965,5.5,32.0,37.5,27.0,8.5,13.0,110.5,0.09443419359845609,0.17727272727272725,0.614773078110528,0.659277747672633,0.5,Toronto Raptors,39.5,0.466,0.3315,0.7055,10.5,31.5,42.0,26.0,9.0,13.0,104.5,-0.09443419359845615,0.3205882352941176,0.5394518272425249,0.5881341746254062,72,1512.2521148951046,1495.3604560769995,1
50,2023,Philadelphia 76ers,83,41.0,0.509,0.45199999999999996,0.862,7.5,33.5,41.0,26.5,9.5,15.5,113.0,0.1901037575578723,0.24569892473118274,0.6021148502624267,0.6672059215733592,0.0,Chicago Bulls,39.5,0.472,0.444,0.907,9.0,33.0,42.0,28.0,8.5,17.5,116.5,0.06065314811106679,0.27698863636363635,0.552478448275862,0.6514006567486955,83,1512.2521148951046,1508.3306228173064,1
51,2023,Philadelphia 76ers,96,42.5,0.524,0.4415,0.7575,6.0,33.0,39.0,27.0,11.0,15.0,116.0,0.07646643619977525,0.1915322580645161,0.6043922525545219,0.6730595671517221,0.0,Washington Wizards,39.5,0.473,0.4,0.8915,9.0,30.5,39.5,23.5,6.5,14.0,114.0,-0.1032735751002482,0.26136363636363635,0.5386879127189205,0.6373781999538746,96,1515.4674357472734,1480.7148938990283,1
52,2023,Portland Trail Blazers,36,38.0,0.4415,0.3815,0.8015,12.0,36.0,48.0,19.5,8.5,15.0,110.5,0.0590416426015068,0.3653153153153153,0.5028409090909092,0.5964464564077547,0.0,Los Angeles Lakers,37.0,0.39849999999999997,0.191,0.823,9.0,30.0,39.0,24.5,11.0,11.5,100.5,-0.057034210709098795,0.2115384615384615,0.4385985198889917,0.5128904501067719,36,1500.0,1496.5,1
